"cat01_code","(F002-22-009)被害項目","area_code","(F002-22-1)全国農業地域・都道府県","unit","value"
"005","合計_被害実面積率","23000","愛知県","%","100.0"
"005","合計_被害実面積率","24000","三重県","%","99.4"
"005","合計_被害実面積率","25000","滋賀県","%","92.1"
"005","合計_被害実面積率","26000","京都府","%","100.0"
"005","合計_被害実面積率","27000","大阪府","%","100.0"
"005","合計_被害実面積率","28000","兵庫県","%","92.0"
"005","合計_被害実面積率","29000","奈良県","%","91.5"
"005","合計_被害実面積率","30000","和歌山県","%","94.1"
"005","合計_被害実面積率","31000","鳥取県","%","76.8"
"005","合計_被害実面積率","32000","島根県","%","100.0"
"005","合計_被害実面積率","33000","岡山県","%","100.0"
"005","合計_被害実面積率","34000","広島県","%","81.1"
"005","合計_被害実面積率","35000","山口県","%","100.0"
"005","合計_被害実面積率","36000","徳島県","%","99.3"
"005","合計_被害実面積率","37000","香川県","%","92.8"
"005","合計_被害実面積率","38000","愛媛県","%","95.6"
"005","合計_被害実面積率","39000","高知県","%","93.1"
"005","合計_被害実面積率","40000","福岡県","%","100.0"
"005","合計_被害実面積率","41000","佐賀県","%","100.0"
"005","合計_被害実面積率","42000","長崎県","%","100.0"
"005","合計_被害実面積率","43000","熊本県","%","92.7"
"005","合計_被害実面積率","44000","大分県","%","100.0"
"005","合計_被害実面積率","45000","宮崎県","%","100.0"
"005","合計_被害実面積率","46000","鹿児島県","%","100.0"
"005","合計_被害実面積率","47000","沖縄県","%","26.5"
"005","合計_被害実面積率","N0013","関東農政局","%","89.8"
"005","合計_被害実面積率","N0014","東海農政局","%","96.3"
"005","合計_被害実面積率","N0015","中国四国農政局","%","93.8"
"006","合計_被害率","N0001","全国","%","9.6"
"006","合計_被害率","N0002","北海道","%","9.8"
"006","合計_被害率","N0003","都府県","%","9.6"
"006","合計_被害率","N0004","東北","%","9.1"
"006","合計_被害率","N0005","北陸","%","5.0"
"006","合計_被害率","N0006","関東・東山","%","11.1"
"006","合計_被害率","N0007","東海","%","8.3"
"006","合計_被害率","N0008","近畿","%","8.2"
"006","合計_被害率","N0009","中国","%","10.5"
"006","合計_被害率","N0010","四国","%","10.7"
