"cat01_code","(F002-30-1-011)被害項目","cat02_code","(F002-30-1-012)被害量","cat03_code","(F002-30-2-006)全国農業地域別・都道府県","unit","value"
"001","被害面積","004","病害_いもち病","005","(全国農業地域)_北陸","ha","10400"
"001","被害面積","004","病害_いもち病","006","(全国農業地域)_関東・東山","ha","39800"
"001","被害面積","004","病害_いもち病","007","(全国農業地域)_東海","ha","21500"
"001","被害面積","004","病害_いもち病","008","(全国農業地域)_近畿","ha","13300"
"001","被害面積","004","病害_いもち病","009","(全国農業地域)_中国","ha","18100"
"001","被害面積","004","病害_いもち病","010","(全国農業地域)_四国","ha","14500"
"001","被害面積","004","病害_いもち病","011","(全国農業地域)_九州","ha","41800"
"001","被害面積","004","病害_いもち病","012","(全国農業地域)_沖縄","ha","7"
"001","被害面積","004","病害_いもち病","013","(都道府県)_北海道","ha","2170"
"001","被害面積","004","病害_いもち病","014","(都道府県)_青森","ha","1010"
"001","被害面積","004","病害_いもち病","015","(都道府県)_岩手","ha","5050"
"001","被害面積","004","病害_いもち病","016","(都道府県)_宮城","ha","8040"
"001","被害面積","004","病害_いもち病","017","(都道府県)_秋田","ha","19100"
"001","被害面積","004","病害_いもち病","018","(都道府県)_山形","ha","11200"
"001","被害面積","004","病害_いもち病","019","(都道府県)_福島","ha","5300"
"001","被害面積","004","病害_いもち病","020","(都道府県)_茨城","ha","8920"
"001","被害面積","004","病害_いもち病","021","(都道府県)_栃木","ha","12500"
"001","被害面積","004","病害_いもち病","022","(都道府県)_群馬","ha","2070"
"001","被害面積","004","病害_いもち病","023","(都道府県)_埼玉","ha","4000"
"001","被害面積","004","病害_いもち病","024","(都道府県)_千葉","ha","6150"
"001","被害面積","004","病害_いもち病","025","(都道府県)_東京","ha","7"
"001","被害面積","004","病害_いもち病","026","(都道府県)_神奈川","ha","－"
"001","被害面積","004","病害_いもち病","027","(都道府県)_新潟","ha","7900"
"001","被害面積","004","病害_いもち病","028","(都道府県)_富山","ha","1190"
"001","被害面積","004","病害_いもち病","029","(都道府県)_石川","ha","560"
"001","被害面積","004","病害_いもち病","030","(都道府県)_福井","ha","760"
"001","被害面積","004","病害_いもち病","031","(都道府県)_山梨","ha","820"
"001","被害面積","004","病害_いもち病","032","(都道府県)_長野","ha","5340"
"001","被害面積","004","病害_いもち病","033","(都道府県)_岐阜","ha","6240"
"001","被害面積","004","病害_いもち病","034","(都道府県)_静岡","ha","3140"
"001","被害面積","004","病害_いもち病","035","(都道府県)_愛知","ha","8370"
"001","被害面積","004","病害_いもち病","036","(都道府県)_三重","ha","3770"
"001","被害面積","004","病害_いもち病","037","(都道府県)_滋賀","ha","7300"
"001","被害面積","004","病害_いもち病","038","(都道府県)_京都","ha","869"
"001","被害面積","004","病害_いもち病","039","(都道府県)_大阪","ha","600"
"001","被害面積","004","病害_いもち病","040","(都道府県)_兵庫","ha","2020"
"001","被害面積","004","病害_いもち病","041","(都道府県)_奈良","ha","1720"
"001","被害面積","004","病害_いもち病","042","(都道府県)_和歌山","ha","800"
"001","被害面積","004","病害_いもち病","043","(都道府県)_鳥取","ha","1220"
"001","被害面積","004","病害_いもち病","044","(都道府県)_島根","ha","2210"
"001","被害面積","004","病害_いもち病","045","(都道府県)_岡山","ha","7600"
"001","被害面積","004","病害_いもち病","046","(都道府県)_広島","ha","5310"
"001","被害面積","004","病害_いもち病","047","(都道府県)_山口","ha","1710"
"001","被害面積","004","病害_いもち病","048","(都道府県)_徳島","ha","3310"
"001","被害面積","004","病害_いもち病","049","(都道府県)_香川","ha","4000"
"001","被害面積","004","病害_いもち病","050","(都道府県)_愛媛","ha","3480"
"001","被害面積","004","病害_いもち病","051","(都道府県)_高知","ha","3710"
"001","被害面積","004","病害_いもち病","052","(都道府県)_福岡","ha","3220"
"001","被害面積","004","病害_いもち病","053","(都道府県)_佐賀","ha","2510"
