,date,降水量_香川
768,2022-02-07,2.3519316372609476
769,2022-02-08,0.0
770,2022-02-09,0.0
771,2022-02-10,0.0
772,2022-02-11,0.0
773,2022-02-12,0.0
774,2022-02-13,3.0119859865502905
775,2022-02-14,0.0
776,2022-02-15,0.0
777,2022-02-16,0.0
778,2022-02-17,0.0
779,2022-02-18,1.2371276779404432
780,2022-02-19,13.698702119004915
781,2022-02-20,0.0
782,2022-02-21,0.8027841680654465
783,2022-02-22,0.0
784,2022-02-23,0.0
785,2022-02-24,0.0
786,2022-02-25,0.0
787,2022-02-26,0.0
788,2022-02-27,0.0
789,2022-02-28,0.0
790,2022-03-01,0.0
791,2022-03-02,0.0
792,2022-03-03,0.0
793,2022-03-04,9.114393850660933
794,2022-03-05,0.0
795,2022-03-06,0.0
796,2022-03-07,0.0
797,2022-03-08,0.0
798,2022-03-09,0.0
799,2022-03-10,0.0
800,2022-03-11,0.0
801,2022-03-12,0.0
802,2022-03-13,6.936330790264971
803,2022-03-14,0.0
804,2022-03-15,0.0
805,2022-03-16,0.0
806,2022-03-17,14.741060995355953
807,2022-03-18,17.23465020931063
808,2022-03-19,0.0
809,2022-03-20,0.0
810,2022-03-21,12.738100145166309
811,2022-03-22,1.2535533341722798
812,2022-03-23,0.0
813,2022-03-24,0.0
814,2022-03-25,10.025292314381597
815,2022-03-26,11.39748630136184
816,2022-03-27,0.0
817,2022-03-28,0.0
818,2022-03-29,0.0
819,2022-03-30,0.0
820,2022-03-31,3.6025430495977577
821,2022-04-01,0.3372277828694466
822,2022-04-02,0.0
823,2022-04-03,0.0
824,2022-04-04,0.0
825,2022-04-05,2.1236923637024163
826,2022-04-06,0.0
827,2022-04-07,0.0
828,2022-04-08,0.0
829,2022-04-09,0.0
830,2022-04-10,0.0
831,2022-04-11,12.023907881737474
832,2022-04-12,0.0
833,2022-04-13,0.0
834,2022-04-14,0.0
835,2022-04-15,0.0
836,2022-04-16,0.0
837,2022-04-17,0.0
838,2022-04-18,0.0
839,2022-04-19,0.0
840,2022-04-20,1.173597310610155
841,2022-04-21,5.317681080780144
842,2022-04-22,2.1116846138772614
843,2022-04-23,8.08164790342229
844,2022-04-24,5.524884172630453
845,2022-04-25,0.15179447951937544
846,2022-04-26,21.27523034026158
847,2022-04-27,6.149514937059963
848,2022-04-28,0.0
849,2022-04-29,0.7123776267936482
850,2022-04-30,5.996759180380401
851,2022-05-01,0.0
852,2022-05-02,0.0
853,2022-05-03,0.0
